2025-03-21 15:23:40,244 - QuoteAnalysis.py:82 - INFO - falling_top_speed: [Rank(code='HK.00700', name='腾讯控股', open_price=518.0, last_price=511.0, high_price=526.0, low_price=505.5, pre_close_price=519.5, change_rate=-0.0135, first_derivative=0.5, second_derivative=1.0, second_derivative_mean=1.0, last_sec_derivative=0.0, last_sec_derivative_mean=0.0, rank=0, last_rank=0)]
2025-03-21 15:23:40,244 - QuoteAnalysis.py:87 - INFO - falling_top_acceleration: [Rank(code='HK.00700', name='腾讯控股', open_price=518.0, last_price=511.0, high_price=526.0, low_price=505.5, pre_close_price=519.5, change_rate=-0.0135, first_derivative=0.5, second_derivative=1.0, second_derivative_mean=1.0, last_sec_derivative=0.0, last_sec_derivative_mean=0.0, rank=0, last_rank=0)]
2025-03-21 15:23:40,244 - QuoteAnalysis.py:92 - INFO - falling_top_acceleration_mean: [Rank(code='HK.00700', name='腾讯控股', open_price=518.0, last_price=511.0, high_price=526.0, low_price=505.5, pre_close_price=519.5, change_rate=-0.0135, first_derivative=0.5, second_derivative=1.0, second_derivative_mean=1.0, last_sec_derivative=0.0, last_sec_derivative_mean=0.0, rank=0, last_rank=0)]
2025-03-21 15:23:41,554 - QuoteAnalysis.py:82 - INFO - falling_top_speed: [Rank(code='HK.00700', name='腾讯控股', open_price=518.0, last_price=511.5, high_price=526.0, low_price=505.5, pre_close_price=519.5, change_rate=-0.0125, first_derivative=0.5, second_derivative=0.0, second_derivative_mean=0.5, last_sec_derivative=0.0, last_sec_derivative_mean=0.0, rank=0, last_rank=0)]
2025-03-21 15:23:41,554 - QuoteAnalysis.py:87 - INFO - falling_top_acceleration: [Rank(code='HK.00700', name='腾讯控股', open_price=518.0, last_price=511.5, high_price=526.0, low_price=505.5, pre_close_price=519.5, change_rate=-0.0125, first_derivative=0.5, second_derivative=0.0, second_derivative_mean=0.5, last_sec_derivative=0.0, last_sec_derivative_mean=0.0, rank=0, last_rank=0)]
2025-03-21 15:23:41,555 - QuoteAnalysis.py:92 - INFO - falling_top_acceleration_mean: [Rank(code='HK.00700', name='腾讯控股', open_price=518.0, last_price=511.5, high_price=526.0, low_price=505.5, pre_close_price=519.5, change_rate=-0.0125, first_derivative=0.5, second_derivative=0.0, second_derivative_mean=0.5, last_sec_derivative=0.0, last_sec_derivative_mean=0.0, rank=0, last_rank=0)]
2025-03-21 15:23:41,911 - QuoteAnalysis.py:82 - INFO - falling_top_speed: [Rank(code='HK.00700', name='腾讯控股', open_price=518.0, last_price=511.5, high_price=526.0, low_price=505.5, pre_close_price=519.5, change_rate=-0.0125, first_derivative=0.5, second_derivative=0.0, second_derivative_mean=0.5, last_sec_derivative=0.0, last_sec_derivative_mean=0.0, rank=0, last_rank=0)]
2025-03-21 15:23:41,911 - QuoteAnalysis.py:87 - INFO - falling_top_acceleration: [Rank(code='HK.00700', name='腾讯控股', open_price=518.0, last_price=511.5, high_price=526.0, low_price=505.5, pre_close_price=519.5, change_rate=-0.0125, first_derivative=0.5, second_derivative=0.0, second_derivative_mean=0.5, last_sec_derivative=0.0, last_sec_derivative_mean=0.0, rank=0, last_rank=0)]
2025-03-21 15:23:41,911 - QuoteAnalysis.py:92 - INFO - falling_top_acceleration_mean: [Rank(code='HK.00700', name='腾讯控股', open_price=518.0, last_price=511.5, high_price=526.0, low_price=505.5, pre_close_price=519.5, change_rate=-0.0125, first_derivative=0.5, second_derivative=0.0, second_derivative_mean=0.5, last_sec_derivative=0.0, last_sec_derivative_mean=0.0, rank=0, last_rank=0)]
2025-03-21 15:23:42,113 - QuoteAnalysis.py:82 - INFO - falling_top_speed: [Rank(code='HK.00700', name='腾讯控股', open_price=518.0, last_price=511.5, high_price=526.0, low_price=505.5, pre_close_price=519.5, change_rate=-0.0125, first_derivative=0.5, second_derivative=0.0, second_derivative_mean=0.5, last_sec_derivative=0.0, last_sec_derivative_mean=0.0, rank=0, last_rank=0)]
2025-03-21 15:23:42,114 - QuoteAnalysis.py:87 - INFO - falling_top_acceleration: [Rank(code='HK.00700', name='腾讯控股', open_price=518.0, last_price=511.5, high_price=526.0, low_price=505.5, pre_close_price=519.5, change_rate=-0.0125, first_derivative=0.5, second_derivative=0.0, second_derivative_mean=0.5, last_sec_derivative=0.0, last_sec_derivative_mean=0.0, rank=0, last_rank=0)]
2025-03-21 15:23:42,114 - QuoteAnalysis.py:92 - INFO - falling_top_acceleration_mean: [Rank(code='HK.00700', name='腾讯控股', open_price=518.0, last_price=511.5, high_price=526.0, low_price=505.5, pre_close_price=519.5, change_rate=-0.0125, first_derivative=0.5, second_derivative=0.0, second_derivative_mean=0.5, last_sec_derivative=0.0, last_sec_derivative_mean=0.0, rank=0, last_rank=0)]
